Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2013	HSA05213 ENDOMETRIAL CANCER	4/52	8.431194e-09	3.794037e-07	0	0	2.769722e+02	5.149281e+03	PTEN;KRAS;TP53;EGFR
KEGG_2013	HSA05214 GLIOMA	4/64	1.973080e-08	4.439429e-07	0	0	2.214444e+02	3.928665e+03	PTEN;KRAS;TP53;EGFR
KEGG_2013	HSA05218 MELANOMA	4/71	3.012234e-08	4.518351e-07	0	0	1.982388e+02	3.433099e+03	PTEN;KRAS;TP53;EGFR
KEGG_2013	HSA05215 PROSTATE CANCER	4/87	6.874226e-08	7.733504e-07	0	0	1.598956e+02	2.637142e+03	PTEN;KRAS;TP53;EGFR
KEGG_2013	HSA05219 BLADDER CANCER	3/42	1.022729e-06	9.204565e-06	0	0	2.192418e+02	3.024009e+03	KRAS;TP53;EGFR
KEGG_2013	HSA05223 NON SMALL CELL LUNG CANCER	3/54	2.202800e-06	1.652100e-05	0	0	1.675546e+02	2.182530e+03	KRAS;TP53;EGFR
KEGG_2013	HSA05212 PANCREATIC CANCER	3/73	5.496053e-06	3.533177e-05	0	0	1.219592e+02	1.477106e+03	KRAS;TP53;EGFR
KEGG_2013	HSA05210 COLORECTAL CANCER	3/85	8.700516e-06	4.894040e-05	0	0	1.040488e+02	1.212390e+03	KRAS;TP53;EGFR
KEGG_2013	HSA04320 DORSO VENTRAL AXIS FORMATION	2/28	8.446285e-05	4.081285e-04	0	0	1.919615e+02	1.800445e+03	KRAS;EGFR
KEGG_2013	HSA05216 THYROID CANCER	2/29	9.069522e-05	4.081285e-04	0	0	1.848426e+02	1.720516e+03	KRAS;TP53
KEGG_2013	HSA04010 MAPK SIGNALING PATHWAY	3/257	2.354008e-04	9.630034e-04	0	0	3.330034e+01	2.781984e+02	KRAS;TP53;EGFR
KEGG_2013	HSA04115 P53 SIGNALING PATHWAY	2/68	5.036159e-04	1.888560e-03	0	0	7.546970e+01	5.730940e+02	PTEN;TP53
KEGG_2013	HSA05220 CHRONIC MYELOID LEUKEMIA	2/76	6.287301e-04	2.176374e-03	0	0	6.728378e+01	4.960032e+02	KRAS;TP53
KEGG_2013	HSA04012 ERBB SIGNALING PATHWAY	2/87	8.228739e-04	2.468622e-03	0	0	5.854412e+01	4.158217e+02	KRAS;EGFR
KEGG_2013	HSA05222 SMALL CELL LUNG CANCER	2/87	8.228739e-04	2.468622e-03	0	0	5.854412e+01	4.158217e+02	PTEN;TP53
KEGG_2013	HSA04912 GNRH SIGNALING PATHWAY	2/97	1.021411e-03	2.759326e-03	0	0	5.235526e+01	3.605482e+02	KRAS;EGFR
KEGG_2013	HSA04540 GAP JUNCTION	2/98	1.042412e-03	2.759326e-03	0	0	5.180729e+01	3.557202e+02	KRAS;EGFR
KEGG_2013	HSA04530 TIGHT JUNCTION	2/136	1.993022e-03	4.733558e-03	0	0	3.704478e+01	2.303482e+02	PTEN;KRAS
KEGG_2013	HSA00830 RETINOL METABOLISM	1/4	1.998613e-03	4.733558e-03	0	0	7.402593e+02	4.600935e+03	ALDH1A1
KEGG_2013	HSA04510 FOCAL ADHESION	2/200	4.247232e-03	9.556272e-03	0	0	2.498990e+01	1.364820e+02	PTEN;EGFR
KEGG_2013	HSA04810 REGULATION OF ACTIN CYTOSKELETON	2/212	4.758284e-03	1.019632e-02	0	0	2.354762e+01	1.259296e+02	KRAS;EGFR
KEGG_2013	HSA05030 AMYOTROPHIC LATERAL SCLEROSIS	1/19	9.461511e-03	1.935309e-02	0	0	1.232840e+02	5.745677e+02	TP53
